,Date,Airline,Flight_Number,Aircraft_Model,Origin_Airport,Origin_City,Destination_Airport,Destination_City,Scheduled_Departure_Time,Actual_Departure_Time,Scheduled_Arrival_Time,Actual_Arrival_Time,Flight_Duration_Minutes,Passenger_Count,Available_Seats,Load_Factor,Passenger_Category,Departure_Delay_Minutes,Arrival_Delay_Minutes,Flight_Status,Delay_Reason,Cancellation_Reason,Ticket_Price_INR,Revenue_INR
FL01651,15-07-2024,Air India,AI 775,Airbus A321,PNQ,Pune,CCU,Kolkata,05:49,05:55,08:39,08:45,170,115,190,0.6053,Leisure,6,6,On Time,,,7620,876300
FL02062,15-07-2024,Air India Express,IX 666,Boeing 737-8,DEL,Delhi,BLR,Bengaluru,13:56,13:56,16:59,16:59,183,141,189,0.746,Business,0,0,On Time,,,6490,915090
FL00146,16-07-2024,SpiceJet,SG 147,Boeing 737-800,JAI,Jaipur,BOM,Mumbai,10:40,10:40,12:27,12:28,107,133,189,0.7037,Student,0,1,On Time,,,3810,506730
FL03027,16-07-2024,IndiGo,6E 275,Airbus A321neo,HYD,Hyderabad,LKO,Lucknow,21:36,21:36,23:41,23:43,125,137,220,0.6227,Business,0,2,On Time,,,5180,709660
FL03080,16-07-2024,SpiceJet,SG 799,Boeing 737-800,CJB,Coimbatore,PNQ,Pune,11:52,11:55,13:45,13:54,113,80,189,0.4233,Leisure,3,9,On Time,,,3140,251200
FL04723,16-07-2024,Air India Express,IX 630,Boeing 737-8,MAA,Chennai,GOI,Goa,06:23,06:24,07:58,07:58,95,106,189,0.5608,Leisure,1,0,On Time,,,3310,350860
FL01584,17-07-2024,IndiGo,6E 609,Airbus A320neo,BOM,Mumbai,LKO,Lucknow,06:29,07:53,08:38,10:00,129,107,180,0.5944,Leisure,84,82,Delayed,Technical Issue,,5540,592780
FL03390,17-07-2024,SpiceJet,SG 872,Boeing 737-800,COK,Kochi,BOM,Mumbai,10:28,10:35,12:28,12:40,120,99,189,0.5238,Business,7,12,On Time,,,4440,439560
FL04116,17-07-2024,IndiGo,6E 366,Airbus A321neo,JAI,Jaipur,CCU,Kolkata,19:55,19:55,22:25,22:25,150,129,220,0.5864,Business,0,0,On Time,,,5910,762390
FL04894,17-07-2024,Akasa Air,QP 573,Boeing 737 MAX 8,GAU,Guwahati,DEL,Delhi,09:09,10:00,11:43,12:27,154,121,189,0.6402,Student,51,44,Delayed,Late Arrival of Aircraft,,6170,746570
FL01877,18-07-2024,Akasa Air,QP 613,Boeing 737 MAX 8,DEL,Delhi,HYD,Hyderabad,15:07,15:09,17:32,17:33,145,175,189,0.9259,Leisure,2,1,On Time,,,6970,1219750
FL03060,18-07-2024,Air India,AI 531,Airbus A321,LKO,Lucknow,COK,Kochi,18:19,19:52,21:33,23:06,194,154,190,0.8105,Leisure,93,93,Delayed,Late Arrival of Aircraft,,9030,1390620
FL00372,19-07-2024,IndiGo,6E 428,Airbus A320neo,CJB,Coimbatore,LKO,Lucknow,07:32,07:36,10:33,10:33,181,136,180,0.7556,Family,4,0,On Time,,,7260,987360
FL00445,19-07-2024,Air India,AI 262,Airbus A321,NAG,Nagpur,CJB,Coimbatore,08:36,08:44,10:39,10:43,123,138,190,0.7263,Family,8,4,On Time,,,6610,912180
FL01119,19-07-2024,Air India,AI 562,Airbus A320,LKO,Lucknow,DEL,Delhi,06:38,,07:45,,67,0,174,0,Leisure,0,0,Cancelled,,Crew Availability,1980,0
FL01215,19-07-2024,IndiGo,6E 278,ATR 72,BLR,Bengaluru,COK,Kochi,10:42,12:23,11:36,13:04,54,57,70,0.8143,Leisure,101,88,Delayed,Security,,1800,102600
FL01329,19-07-2024,Akasa Air,QP 459,Boeing 737 MAX 8,MAA,Chennai,DEL,Delhi,16:31,17:31,19:29,20:32,178,133,189,0.7037,Senior Citizen,60,63,Delayed,Weather,,8370,1113210
FL02166,19-07-2024,IndiGo,6E 300,Airbus A320neo,MAA,Chennai,BOM,Mumbai,21:15,23:29,23:15,01:37,120,123,180,0.6833,Leisure,134,142,Delayed,Crew,,4870,599010
FL02615,19-07-2024,IndiGo,6E 702,Airbus A320neo,MAA,Chennai,DEL,Delhi,12:10,13:38,15:11,16:47,181,151,180,0.8389,Leisure,88,96,Delayed,Air Traffic,,8600,1298600
FL02838,19-07-2024,IndiGo,6E 906,Airbus A321neo,AMD,Ahmedabad,HYD,Hyderabad,15:02,15:04,16:47,16:51,105,155,220,0.7045,Student,2,4,On Time,,,4440,688200
FL03119,19-07-2024,Air India,AI 554,Airbus A321,HYD,Hyderabad,NAG,Nagpur,07:41,10:14,08:48,11:26,67,124,190,0.6526,Leisure,153,158,Delayed,Weather,,2220,275280
FL03253,19-07-2024,IndiGo,6E 478,Airbus A321neo,AMD,Ahmedabad,CCU,Kolkata,19:12,19:36,22:06,22:16,174,116,220,0.5273,Student,24,10,Delayed,Weather,,7150,829400
FL03827,19-07-2024,IndiGo,6E 963,Airbus A320neo,AMD,Ahmedabad,MAA,Chennai,06:31,,09:02,,151,0,180,0,Leisure,0,0,Cancelled,,Weather,6040,0
FL04634,19-07-2024,Akasa Air,QP 495,Boeing 737 MAX 8,HYD,Hyderabad,BLR,Bengaluru,07:22,07:25,08:32,08:44,70,142,189,0.7513,Family,3,12,On Time,,,2420,343640
FL00108,20-07-2024,SpiceJet,SG 139,Boeing 737-800,BLR,Bengaluru,NAG,Nagpur,14:56,14:57,16:37,16:41,101,130,189,0.6878,Leisure,1,4,On Time,,,4760,618800
FL01516,20-07-2024,IndiGo,6E 561,Airbus A321neo,MAA,Chennai,PNQ,Pune,14:27,14:31,16:12,16:14,105,156,220,0.7091,Family,4,2,On Time,,,4530,706680
FL02735,20-07-2024,Akasa Air,QP 817,Boeing 737 MAX 8,GOI,Goa,CJB,Coimbatore,10:02,12:36,11:16,14:08,74,130,189,0.6878,Leisure,154,172,Delayed,Weather,,2870,373100
FL04495,20-07-2024,IndiGo,6E 665,Airbus A321neo,DEL,Delhi,NAG,Nagpur,19:54,19:58,21:34,21:37,100,130,220,0.5909,Business,4,3,On Time,,,3870,503100
FL04766,20-07-2024,Akasa Air,QP 529,Boeing 737 MAX 8,CCU,Kolkata,COK,Kochi,17:42,17:49,20:58,21:02,196,122,189,0.6455,Leisure,7,4,On Time,,,9430,1150460
FL04863,20-07-2024,IndiGo,6E 949,Airbus A321neo,DEL,Delhi,GOI,Goa,10:45,10:49,13:21,13:26,156,143,220,0.65,Family,4,5,On Time,,,7640,1092520
FL00820,21-07-2024,IndiGo,6E 768,Airbus A320neo,MAA,Chennai,BOM,Mumbai,18:43,18:44,20:42,20:46,119,133,180,0.7389,Business,1,4,On Time,,,5370,714210
FL01530,21-07-2024,Air India,AI 719,Airbus A320,DEL,Delhi,CJB,Coimbatore,22:01,22:02,01:16,01:19,195,137,174,0.7874,Business,1,3,On Time,,,13310,1823470
FL01550,21-07-2024,Air India Express,IX 523,Boeing 737-8,BLR,Bengaluru,LKO,Lucknow,10:22,10:30,13:11,13:15,169,97,189,0.5132,Business,8,4,On Time,,,5750,557750
FL02121,21-07-2024,IndiGo,6E 265,Airbus A320neo,HYD,Hyderabad,CJB,Coimbatore,19:35,19:38,21:06,21:10,91,139,180,0.7722,Business,3,4,On Time,,,3400,472600
FL02459,21-07-2024,Akasa Air,QP 759,Boeing 737 MAX 8,BOM,Mumbai,HYD,Hyderabad,07:37,07:54,08:56,12:39,79,166,189,0.8783,Senior Citizen,17,223,Diverted,Late Arrival of Aircraft,,3120,517920
FL03120,21-07-2024,Air India Express,IX 978,Boeing 737-8,AMD,Ahmedabad,MAA,Chennai,08:39,11:34,11:05,14:01,146,150,189,0.7937,Business,175,176,Delayed,Air Traffic,,5970,895500
FL03800,21-07-2024,Air India,AI 827,Airbus A320,MAA,Chennai,DEL,Delhi,11:12,11:19,14:19,14:30,187,146,174,0.8391,Leisure,7,11,On Time,,,11100,1620600
FL03964,21-07-2024,Air India,AI 902,Airbus A320,COK,Kochi,DEL,Delhi,07:52,07:52,11:21,11:21,209,96,174,0.5517,Leisure,0,0,On Time,,,10720,1029120
FL04404,21-07-2024,Air India Express,IX 513,Boeing 737-800,MAA,Chennai,PNQ,Pune,08:37,11:32,10:26,13:31,109,131,180,0.7278,Leisure,175,185,Delayed,Weather,,4120,539720
FL04631,21-07-2024,IndiGo,6E 771,ATR 72,GOI,Goa,MAA,Chennai,11:07,11:10,12:35,12:40,88,56,70,0.8,Business,3,5,On Time,,,3540,198240
FL04645,21-07-2024,IndiGo,6E 777,ATR 72,LKO,Lucknow,DEL,Delhi,20:35,20:40,21:36,21:38,61,61,70,0.8714,Leisure,5,2,On Time,,,2290,139690
FL04670,21-07-2024,IndiGo,6E 798,Airbus A321neo,LKO,Lucknow,BLR,Bengaluru,14:36,14:40,17:12,17:15,156,152,220,0.6909,Business,4,3,On Time,,,6490,986480
FL00661,22-07-2024,IndiGo,6E 644,Airbus A320neo,MAA,Chennai,BOM,Mumbai,10:32,10:36,12:24,12:25,112,152,180,0.8444,Family,4,1,On Time,,,5280,802560
FL01053,22-07-2024,Akasa Air,QP 387,Boeing 737 MAX 8,JAI,Jaipur,PNQ,Pune,14:15,15:36,16:10,17:34,115,158,189,0.836,Family,81,84,Delayed,Crew,,4470,706260
FL01652,22-07-2024,Air India,AI 776,Airbus A321,CJB,Coimbatore,PNQ,Pune,17:45,17:50,19:38,19:38,113,141,190,0.7421,Senior Citizen,5,0,On Time,,,5020,707820
FL01898,22-07-2024,IndiGo,6E 875,Airbus A320neo,DEL,Delhi,BLR,Bengaluru,13:05,14:49,15:45,17:09,160,145,180,0.8056,Senior Citizen,104,84,Delayed,Weather,,9400,1363000
FL02877,22-07-2024,Akasa Air,QP 858,Boeing 737 MAX 8,PNQ,Pune,HYD,Hyderabad,07:52,07:53,08:57,08:57,65,109,189,0.5767,Leisure,1,0,On Time,,,2090,227810
FL03221,22-07-2024,Air India,AI 594,Airbus A321,HYD,Hyderabad,BOM,Mumbai,14:48,17:12,16:17,18:34,89,150,190,0.7895,Leisure,144,137,Delayed,Ground Operations,,3040,456000
FL03332,22-07-2024,Air India,AI 636,Airbus A320,PNQ,Pune,BLR,Bengaluru,08:33,09:19,10:05,10:59,92,113,174,0.6494,Business,46,54,Delayed,Late Arrival of Aircraft,,3990,450870
FL04082,22-07-2024,IndiGo,6E 327,Airbus A320neo,HYD,Hyderabad,PNQ,Pune,19:36,20:19,20:52,21:27,76,117,180,0.65,Leisure,43,35,Delayed,Ground Operations,,2280,266760
FL04546,22-07-2024,Air India,AI 335,Airbus A321,BLR,Bengaluru,GOI,Goa,22:29,00:24,23:44,01:55,75,120,190,0.6316,Family,115,131,Delayed,Weather,,2280,273600
FL04563,22-07-2024,SpiceJet,SG 379,Boeing 737-800,DEL,Delhi,AMD,Ahmedabad,13:09,13:18,14:44,14:50,95,102,189,0.5397,Senior Citizen,9,6,On Time,,,2850,290700
FL04793,22-07-2024,SpiceJet,SG 439,Boeing 737-800,DEL,Delhi,CCU,Kolkata,10:26,10:32,12:42,12:46,136,108,189,0.5714,Leisure,6,4,On Time,,,4960,535680
FL04822,22-07-2024,Air India,AI 443,Airbus A320,GAU,Guwahati,CCU,Kolkata,13:25,13:32,14:34,14:42,69,126,174,0.7241,Family,7,8,On Time,,,2480,312480
FL04843,22-07-2024,IndiGo,6E 930,ATR 72,BOM,Mumbai,NAG,Nagpur,09:59,,11:20,,81,0,70,0,Business,0,0,Cancelled,,Crew Availability,3170,0
FL01606,23-07-2024,IndiGo,6E 636,Airbus A320neo,BOM,Mumbai,BLR,Bengaluru,05:00,05:08,06:55,07:09,115,138,180,0.7667,Family,8,14,On Time,,,3970,547860
FL02158,23-07-2024,Air India Express,IX 697,Boeing 737-8,NAG,Nagpur,GOI,Goa,11:15,11:22,12:54,12:58,99,149,189,0.7884,Leisure,7,4,On Time,,,3440,512560
FL03283,23-07-2024,SpiceJet,SG 840,Boeing 737-800,HYD,Hyderabad,NAG,Nagpur,07:32,07:36,08:49,08:54,77,118,189,0.6243,Business,4,5,On Time,,,1800,212400
FL04779,23-07-2024,SpiceJet,SG 436,Boeing 737-800,AMD,Ahmedabad,DEL,Delhi,20:48,20:53,22:26,22:27,98,101,189,0.5344,Family,5,1,On Time,,,3110,314110
FL04923,23-07-2024,IndiGo,6E 209,Airbus A320neo,COK,Kochi,CCU,Kolkata,13:32,13:36,16:45,16:53,193,85,180,0.4722,Family,4,8,On Time,,,7080,601800
FL02505,24-07-2024,Air India,AI 315,Airbus A321,CCU,Kolkata,COK,Kochi,17:08,17:47,20:25,20:54,197,134,190,0.7053,Leisure,39,29,Delayed,Air Traffic,,8390,1124260
FL03641,24-07-2024,IndiGo,6E 823,Airbus A320neo,BLR,Bengaluru,GAU,Guwahati,11:47,11:56,15:13,15:24,206,126,180,0.7,Leisure,9,11,On Time,,,8150,1026900
FL00475,25-07-2024,IndiGo,6E 522,Airbus A320neo,PNQ,Pune,LKO,Lucknow,11:07,11:15,13:05,13:16,118,114,180,0.6333,Student,8,11,On Time,,,5430,619020
FL00596,25-07-2024,Air India,AI 330,Airbus A320,PNQ,Pune,BOM,Mumbai,08:23,10:38,09:08,11:26,45,131,174,0.7529,Leisure,135,138,Delayed,Weather,,1800,235800
FL00897,25-07-2024,IndiGo,6E 826,Airbus A321neo,BOM,Mumbai,HYD,Hyderabad,13:03,13:03,14:32,14:32,89,170,220,0.7727,Business,0,0,On Time,,,2830,481100
FL02982,25-07-2024,IndiGo,6E 239,Airbus A320neo,GAU,Guwahati,DEL,Delhi,21:56,22:04,00:37,00:50,161,130,180,0.7222,Student,8,13,On Time,,,6520,847600
FL03015,25-07-2024,IndiGo,6E 262,Airbus A321neo,DEL,Delhi,BOM,Mumbai,19:07,19:07,21:17,21:17,130,156,220,0.7091,Business,0,0,On Time,,,5190,809640
FL03510,25-07-2024,Akasa Air,QP 207,Boeing 737 MAX 8,JAI,Jaipur,CJB,Coimbatore,20:25,20:30,23:29,23:37,184,105,189,0.5556,Family,5,8,On Time,,,7240,760200
FL03622,25-07-2024,Air India,AI 747,Airbus A321,COK,Kochi,AMD,Ahmedabad,18:39,18:45,21:18,21:26,159,138,190,0.7263,Leisure,6,8,On Time,,,6960,960480
FL03679,25-07-2024,Air India,AI 766,Boeing 787-8,GOI,Goa,BLR,Bengaluru,12:27,14:08,13:31,15:14,64,140,256,0.5469,Family,101,103,Delayed,Weather,,2150,301000
FL03758,25-07-2024,Air India,AI 806,Airbus A320,BOM,Mumbai,GOI,Goa,12:40,12:48,13:45,13:50,65,149,174,0.8563,Leisure,8,5,On Time,,,2380,354620
FL03852,25-07-2024,Air India,AI 852,Airbus A321,BOM,Mumbai,PNQ,Pune,07:59,10:37,08:44,11:32,45,156,190,0.8211,Senior Citizen,158,168,Delayed,Technical Issue,,1800,280800
FL02017,26-07-2024,SpiceJet,SG 567,Bombardier Q400,HYD,Hyderabad,GOI,Goa,19:36,19:44,20:51,20:54,75,42,78,0.5385,Family,8,3,On Time,,,2680,112560
FL02073,26-07-2024,IndiGo,6E 218,Airbus A321neo,HYD,Hyderabad,DEL,Delhi,16:49,16:50,19:17,19:17,148,187,220,0.85,Business,1,0,On Time,,,6410,1198670
FL02123,26-07-2024,IndiGo,6E 267,ATR 72,NAG,Nagpur,GOI,Goa,09:42,09:46,11:31,11:33,109,55,70,0.7857,Business,4,2,On Time,,,4290,235950
FL03818,26-07-2024,Akasa Air,QP 277,Boeing 737 MAX 8,GOI,Goa,MAA,Chennai,11:17,14:06,12:46,15:39,89,129,189,0.6825,Student,169,173,Delayed,Weather,,3470,447630
FL04195,26-07-2024,SpiceJet,SG 260,Boeing 737-800,MAA,Chennai,JAI,Jaipur,10:51,10:55,13:37,13:44,166,131,189,0.6931,Senior Citizen,4,7,On Time,,,7870,1030970
FL04260,26-07-2024,Akasa Air,QP 413,Boeing 737 MAX 8,MAA,Chennai,BLR,Bengaluru,18:49,18:52,19:43,19:46,54,166,189,0.8783,Business,3,3,On Time,,,1800,298800
FL04472,26-07-2024,IndiGo,6E 649,Airbus A320neo,BOM,Mumbai,BLR,Bengaluru,15:20,15:22,17:01,17:04,101,132,180,0.7333,Family,2,3,On Time,,,4510,595320
FL04860,26-07-2024,Air India,AI 471,Airbus A321,MAA,Chennai,CJB,Coimbatore,12:14,12:14,13:20,13:20,66,131,190,0.6895,Leisure,0,0,On Time,,,2210,289510
FL00157,27-07-2024,Air India,AI 140,Boeing 787-8,HYD,Hyderabad,BLR,Bengaluru,11:09,11:10,12:24,12:31,75,220,256,0.8594,Family,1,7,On Time,,,2250,495000
FL00514,27-07-2024,IndiGo,6E 552,Airbus A320neo,HYD,Hyderabad,BLR,Bengaluru,11:13,11:13,12:25,12:30,72,134,180,0.7444,Business,0,5,On Time,,,2000,268000
FL01000,27-07-2024,SpiceJet,SG 373,Boeing 737-800,GOI,Goa,GAU,Guwahati,16:23,16:26,20:07,20:12,224,116,189,0.6138,Business,3,5,On Time,,,10590,1228440
FL03219,27-07-2024,Air India,AI 589,Airbus A321,MAA,Chennai,BOM,Mumbai,11:02,,13:05,,123,0,190,0,Leisure,0,0,Cancelled,,Operational Issue,5140,0
FL04067,27-07-2024,SpiceJet,SG 234,Bombardier Q400,HYD,Hyderabad,PNQ,Pune,22:00,22:44,23:08,23:52,68,65,78,0.8333,Leisure,44,44,Delayed,Ground Operations,,2560,166400
FL04162,27-07-2024,Air India Express,IX 452,Boeing 737-8,LKO,Lucknow,DEL,Delhi,17:17,17:23,18:21,18:27,64,134,189,0.709,Leisure,6,6,On Time,,,1960,262640
FL04486,27-07-2024,Air India Express,IX 549,Boeing 737-8,BLR,Bengaluru,COK,Kochi,14:16,14:24,15:25,15:33,69,136,189,0.7196,Family,8,8,On Time,,,1800,244800
FL04674,27-07-2024,Air India,AI 382,Airbus A321,CCU,Kolkata,PNQ,Pune,22:03,22:03,00:38,00:38,155,145,190,0.7632,Senior Citizen,0,0,On Time,,,9900,1435500
FL04892,27-07-2024,IndiGo,6E 971,Airbus A320neo,CCU,Kolkata,DEL,Delhi,09:04,09:09,11:32,11:40,148,131,180,0.7278,Family,5,8,On Time,,,6920,906520
FL00076,28-07-2024,Air India Express,IX 130,Boeing 737-8,BLR,Bengaluru,MAA,Chennai,08:45,11:16,09:44,12:18,59,139,189,0.7354,Business,151,154,Delayed,Late Arrival of Aircraft,,1800,250200
FL02817,28-07-2024,SpiceJet,SG 734,Bombardier Q400,CCU,Kolkata,CJB,Coimbatore,20:52,20:56,23:59,00:07,187,56,78,0.7179,Student,4,8,On Time,,,7600,425600
FL00705,29-07-2024,IndiGo,6E 675,Airbus A321neo,CCU,Kolkata,PNQ,Pune,06:55,07:04,09:40,09:45,165,154,220,0.7,Business,9,5,On Time,,,7100,1093400
FL01055,29-07-2024,IndiGo,6E 926,Airbus A320neo,DEL,Delhi,MAA,Chennai,07:35,07:40,10:42,10:52,187,102,180,0.5667,Senior Citizen,5,10,On Time,,,8240,840480
FL02945,29-07-2024,Air India,AI 476,Boeing 787-8,COK,Kochi,PNQ,Pune,16:50,16:50,18:49,18:50,119,146,256,0.5703,Leisure,0,1,On Time,,,3700,540200
FL02968,29-07-2024,IndiGo,6E 219,Airbus A321neo,JAI,Jaipur,PNQ,Pune,11:06,11:57,13:01,14:10,115,168,220,0.7636,Business,51,69,Delayed,Weather,,4200,705600
FL03840,29-07-2024,Air India,AI 843,Airbus A320,AMD,Ahmedabad,DEL,Delhi,07:02,07:08,08:30,08:30,88,117,174,0.6724,Senior Citizen,6,0,On Time,,,3810,445770
FL03850,29-07-2024,IndiGo,6E 979,Airbus A321neo,CJB,Coimbatore,HYD,Hyderabad,12:32,12:39,14:04,14:13,92,143,220,0.65,Student,7,9,On Time,,,3150,450450
FL04263,29-07-2024,IndiGo,6E 475,ATR 72,AMD,Ahmedabad,BOM,Mumbai,15:29,17:59,16:31,19:13,62,60,70,0.8571,Senior Citizen,150,162,Delayed,Weather,,2550,153000
FL04550,29-07-2024,IndiGo,6E 704,Airbus A321neo,BOM,Mumbai,PNQ,Pune,12:49,14:01,13:34,17:09,45,129,220,0.5864,Leisure,72,215,Diverted,Late Arrival of Aircraft,,1800,232200
FL00267,30-07-2024,Air India,AI 168,Boeing 787-8,HYD,Hyderabad,BLR,Bengaluru,07:17,07:19,08:34,08:36,77,214,256,0.8359,Business,2,2,On Time,,,2760,590640
FL00407,30-07-2024,Akasa Air,QP 187,Boeing 737 MAX 8,HYD,Hyderabad,COK,Kochi,21:25,22:51,23:01,00:36,96,135,189,0.7143,Leisure,86,95,Delayed,Weather,,3890,525150
FL00691,30-07-2024,Akasa Air,QP 291,Boeing 737 MAX 8,CCU,Kolkata,JAI,Jaipur,18:16,18:24,20:42,20:47,146,152,189,0.8042,Student,8,5,On Time,,,7240,1100480
FL01353,30-07-2024,IndiGo,6E 416,Airbus A321neo,GOI,Goa,BOM,Mumbai,18:57,18:59,20:02,20:02,65,150,220,0.6818,Student,2,0,On Time,,,2030,304500
FL01710,30-07-2024,Air India Express,IX 569,Boeing 737-8,BOM,Mumbai,AMD,Ahmedabad,05:22,08:19,06:36,09:49,74,130,189,0.6878,Leisure,177,193,Delayed,Other,,1800,234000
FL02041,30-07-2024,IndiGo,6E 990,Airbus A321neo,PNQ,Pune,MAA,Chennai,18:21,18:22,20:07,20:07,106,178,220,0.8091,Business,1,0,On Time,,,4950,881100
FL03238,30-07-2024,Air India Express,IX 211,Boeing 737-8,CCU,Kolkata,HYD,Hyderabad,17:00,17:07,19:17,19:25,137,154,189,0.8148,Leisure,7,8,On Time,,,5800,893200
FL04371,30-07-2024,Air India Express,IX 501,Boeing 737-8,LKO,Lucknow,GOI,Goa,09:41,11:11,12:13,13:57,152,149,189,0.7884,Leisure,90,104,Delayed,Technical Issue,,5750,856750
FL01406,31-07-2024,IndiGo,6E 456,ATR 72,AMD,Ahmedabad,MAA,Chennai,15:54,18:12,18:20,20:38,146,45,70,0.6429,Family,138,138,Delayed,Air Traffic,,5450,245250
FL01997,31-07-2024,IndiGo,6E 954,Airbus A320neo,AMD,Ahmedabad,PNQ,Pune,11:22,12:45,12:24,14:08,62,132,180,0.7333,Business,83,104,Delayed,Weather,,2400,316800
FL02555,31-07-2024,SpiceJet,SG 683,Boeing 737-800,PNQ,Pune,LKO,Lucknow,12:01,12:07,14:07,14:11,126,130,189,0.6878,Leisure,6,4,On Time,,,4220,548600
FL02685,31-07-2024,IndiGo,6E 773,Airbus A321neo,DEL,Delhi,HYD,Hyderabad,17:31,19:55,19:58,22:08,147,166,220,0.7545,Business,144,130,Delayed,Air Traffic,,5960,989360
FL04687,31-07-2024,IndiGo,6E 806,ATR 72,JAI,Jaipur,LKO,Lucknow,20:51,20:52,22:08,22:08,77,52,70,0.7429,Leisure,1,0,On Time,,,2460,127920
FL04744,31-07-2024,Air India,AI 409,Boeing 787-8,PNQ,Pune,BLR,Bengaluru,21:28,21:36,23:02,23:09,94,159,256,0.6211,Leisure,8,7,On Time,,,3580,569220
FL00225,01-08-2024,Air India Express,IX 185,Boeing 737-8,MAA,Chennai,GOI,Goa,15:11,17:04,16:52,18:57,101,116,189,0.6138,Leisure,113,125,Delayed,Air Traffic,,2810,325960
FL01858,01-08-2024,Air India,AI 867,Airbus A321,HYD,Hyderabad,BLR,Bengaluru,17:37,17:38,18:47,18:50,70,122,190,0.6421,Family,1,3,On Time,,,2120,258640
FL02012,01-08-2024,IndiGo,6E 965,Airbus A321neo,CJB,Coimbatore,HYD,Hyderabad,17:59,,19:25,,86,0,220,0,Business,0,0,Cancelled,,Crew Availability,3170,0
FL03381,01-08-2024,IndiGo,6E 588,Airbus A320neo,MAA,Chennai,CJB,Coimbatore,13:25,15:23,14:25,16:19,60,112,180,0.6222,Student,118,114,Delayed,Weather,,1930,216160
FL03601,01-08-2024,Air India,AI 734,Airbus A321,CCU,Kolkata,PNQ,Pune,17:26,19:47,20:10,22:56,164,117,190,0.6158,Family,141,166,Delayed,Air Traffic,,7540,882180
FL04616,01-08-2024,IndiGo,6E 761,ATR 72,MAA,Chennai,HYD,Hyderabad,20:56,,22:15,,79,0,70,0,Business,0,0,Cancelled,,Other,2380,0
FL04930,01-08-2024,IndiGo,6E 214,Airbus A320neo,CCU,Kolkata,BOM,Mumbai,10:19,12:11,13:13,15:12,174,122,180,0.6778,Student,112,119,Delayed,Weather,,7640,932080
FL00048,02-08-2024,Air India,AI 113,Airbus A320,JAI,Jaipur,DEL,Delhi,12:54,12:56,13:46,13:49,52,130,174,0.7471,Leisure,2,3,On Time,,,1800,234000
FL00330,02-08-2024,SpiceJet,SG 198,Boeing 737-800,HYD,Hyderabad,CCU,Kolkata,06:36,06:41,08:48,09:00,132,127,189,0.672,Senior Citizen,5,12,On Time,,,4850,615950
FL00615,02-08-2024,Air India,AI 336,Boeing 787-8,PNQ,Pune,BOM,Mumbai,08:52,08:53,09:37,09:39,45,207,256,0.8086,Family,1,2,On Time,,,1800,372600
FL01684,02-08-2024,SpiceJet,SG 499,Boeing 737-800,GOI,Goa,CJB,Coimbatore,13:14,14:40,14:41,16:16,87,151,189,0.7989,Leisure,86,95,Delayed,Air Traffic,,2440,368440
FL02316,02-08-2024,IndiGo,6E 422,Airbus A321neo,BOM,Mumbai,JAI,Jaipur,19:25,19:25,21:16,21:17,111,149,220,0.6773,Business,0,1,On Time,,,4540,676460
FL02344,02-08-2024,SpiceJet,SG 638,Boeing 737-800,DEL,Delhi,AMD,Ahmedabad,11:42,13:08,13:16,14:24,94,133,189,0.7037,Business,86,68,Delayed,Security,,3830,509390
FL02629,02-08-2024,IndiGo,6E 709,Airbus A321neo,DEL,Delhi,PNQ,Pune,07:25,07:28,09:37,09:39,132,135,220,0.6136,Senior Citizen,3,2,On Time,,,5460,737100
FL02821,02-08-2024,IndiGo,6E 890,ATR 72,PNQ,Pune,HYD,Hyderabad,22:14,22:23,23:31,23:41,77,59,70,0.8429,Student,9,10,On Time,,,2690,158710
FL03190,02-08-2024,Akasa Air,QP 940,Boeing 737 MAX 8,GOI,Goa,COK,Kochi,20:59,21:08,22:27,22:38,88,166,189,0.8783,Leisure,9,11,On Time,,,3560,590960
FL03464,02-08-2024,IndiGo,6E 670,Airbus A321neo,JAI,Jaipur,MAA,Chennai,21:33,23:30,00:19,02:16,166,188,220,0.8545,Leisure,117,117,Delayed,Late Arrival of Aircraft,,8680,1631840
FL04489,02-08-2024,IndiGo,6E 662,Airbus A320neo,NAG,Nagpur,JAI,Jaipur,19:18,19:22,20:46,20:51,88,142,180,0.7889,Business,4,5,On Time,,,3590,509780
FL04902,02-08-2024,IndiGo,6E 985,Airbus A321neo,BLR,Bengaluru,BOM,Mumbai,21:15,21:18,22:58,23:00,103,157,220,0.7136,Leisure,3,2,On Time,,,4450,698650
FL01093,03-08-2024,Air India Express,IX 405,Boeing 737-8,COK,Kochi,CJB,Coimbatore,10:34,12:07,11:19,12:59,45,139,189,0.7354,Leisure,93,100,Delayed,Weather,,1800,250200
FL01199,03-08-2024,IndiGo,6E 261,Airbus A320neo,MAA,Chennai,COK,Kochi,17:03,17:12,18:13,18:24,70,118,180,0.6556,Leisure,9,11,On Time,,,2270,267860
FL01647,03-08-2024,Air India,AI 772,Airbus A320,DEL,Delhi,LKO,Lucknow,08:23,10:22,09:31,11:35,68,149,174,0.8563,Family,119,124,Delayed,Other,,2420,360580
FL01798,03-08-2024,IndiGo,6E 792,Airbus A321neo,BLR,Bengaluru,DEL,Delhi,12:28,12:32,15:31,15:36,183,163,220,0.7409,Family,4,5,On Time,,,8090,1318670
FL04279,03-08-2024,Air India Express,IX 483,Boeing 737-800,HYD,Hyderabad,BOM,Mumbai,18:53,18:56,20:16,20:18,83,151,180,0.8389,Family,3,2,On Time,,,2720,410720
